Date : 2024-12-22 08:12:24
Directory : d:\final_project
Total : 2984 files,  759495 codes, 61800 comments, 171248 blanks, all 992543 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .venv\Lib\site-packages\alembic\util                                                                                 |          8 |      1,112 |         46 |        291 |      1,449 |
| .venv\Lib\site-packages\annotated_types                                                                              |          2 |        427 |         13 |        145 |        585 |
| .venv\Lib\site-packages\anyio                                                                                        |         37 |      8,320 |        256 |      2,132 |     10,708 |
| .venv\Lib\site-packages\anyio (Files)                                                                                |          6 |      1,013 |         26 |        247 |      1,286 |
| .venv\Lib\site-packages\anyio\_backends                                                                              |          3 |      3,245 |        131 |        728 |      4,104 |
| .venv\Lib\site-packages\anyio\_core                                                                                  |         13 |      2,273 |         39 |        682 |      2,994 |
| .venv\Lib\site-packages\anyio\abc                                                                                    |          8 |        867 |         17 |        224 |      1,108 |
| .venv\Lib\site-packages\anyio\streams                                                                                |          7 |        922 |         43 |        251 |      1,216 |
| .venv\Lib\site-packages\bcrypt                                                                                       |          2 |         40 |         11 |          4 |         55 |
| .venv\Lib\site-packages\black                                                                                        |         26 |      9,889 |        858 |      1,867 |     12,614 |
| .venv\Lib\site-packages\black (Files)                                                                                |         24 |      9,734 |        858 |      1,865 |     12,457 |
| .venv\Lib\site-packages\black-24.10.0.dist-info                                                                      |          1 |        192 |          0 |          6 |        198 |
| .venv\Lib\site-packages\black-24.10.0.dist-info\licenses                                                             |          1 |        192 |          0 |          6 |        198 |
| .venv\Lib\site-packages\black\resources                                                                              |          2 |        155 |          0 |          2 |        157 |
| .venv\Lib\site-packages\blackd                                                                                       |          3 |        242 |          8 |         49 |        299 |
| .venv\Lib\site-packages\blib2to3                                                                                     |         12 |      3,281 |        202 |        601 |      4,084 |
| .venv\Lib\site-packages\blib2to3 (Files)                                                                             |          3 |        952 |         46 |        185 |      1,183 |
| .venv\Lib\site-packages\blib2to3\pgen2                                                                               |          9 |      2,329 |        156 |        416 |      2,901 |
| .venv\Lib\site-packages\build                                                                                        |         13 |      1,217 |         66 |        331 |      1,614 |
| .venv\Lib\site-packages\build (Files)                                                                                |          9 |      1,169 |         62 |        309 |      1,540 |
| .venv\Lib\site-packages\build\_compat                                                                                |          4 |         48 |          4 |         22 |         74 |
| .venv\Lib\site-packages\cachecontrol                                                                                 |         12 |      1,051 |        189 |        304 |      1,544 |
| .venv\Lib\site-packages\cachecontrol (Files)                                                                         |          9 |        891 |        160 |        252 |      1,303 |
| .venv\Lib\site-packages\cachecontrol\caches                                                                          |          3 |        160 |         29 |         52 |        241 |
| .venv\Lib\site-packages\certifi                                                                                      |          3 |         68 |         37 |         28 |        133 |
| .venv\Lib\site-packages\cffi                                                                                         |         22 |      7,580 |      1,054 |        967 |      9,601 |
| .venv\Lib\site-packages\charset_normalizer                                                                           |         12 |      4,324 |         44 |        559 |      4,927 |
| .venv\Lib\site-packages\charset_normalizer (Files)                                                                   |         10 |      4,029 |         44 |        526 |      4,599 |
| .venv\Lib\site-packages\charset_normalizer\cli                                                                       |          2 |        295 |          0 |         33 |        328 |
| .venv\Lib\site-packages\cleo                                                                                         |         72 |      5,916 |        131 |      1,941 |      7,988 |
| .venv\Lib\site-packages\cleo (Files)                                                                                 |          8 |        839 |         20 |        284 |      1,143 |
| .venv\Lib\site-packages\cleo\commands                                                                                |          8 |        787 |         22 |        252 |      1,061 |
| .venv\Lib\site-packages\cleo\commands (Files)                                                                        |          6 |        703 |         12 |        219 |        934 |
| .venv\Lib\site-packages\cleo\commands\completions                                                                    |          2 |         84 |         10 |         33 |        127 |
| .venv\Lib\site-packages\cleo\descriptors                                                                             |          4 |        321 |          1 |         99 |        421 |
| .venv\Lib\site-packages\cleo\events                                                                                  |          9 |        191 |         11 |        102 |        304 |
| .venv\Lib\site-packages\cleo\exceptions                                                                              |          1 |         67 |          0 |         28 |         95 |
| .venv\Lib\site-packages\cleo\formatters                                                                              |          4 |        226 |          3 |         85 |        314 |
| .venv\Lib\site-packages\cleo\io                                                                                      |         18 |      1,251 |         32 |        428 |      1,711 |
| .venv\Lib\site-packages\cleo\io (Files)                                                                              |          4 |        157 |          0 |         58 |        215 |
| .venv\Lib\site-packages\cleo\io\inputs                                                                               |          8 |        722 |         24 |        243 |        989 |
| .venv\Lib\site-packages\cleo\io\outputs                                                                              |          6 |        372 |          8 |        127 |        507 |
| .venv\Lib\site-packages\cleo\loaders                                                                                 |          3 |         42 |          0 |         21 |         63 |
| .venv\Lib\site-packages\cleo\testers                                                                                 |          3 |        126 |          2 |         40 |        168 |
| .venv\Lib\site-packages\cleo\ui                                                                                      |         14 |      2,066 |         40 |        602 |      2,708 |
| .venv\Lib\site-packages\click                                                                                        |         16 |      7,683 |        518 |      1,939 |     10,140 |
| .venv\Lib\site-packages\click-8.1.7.dist-info                                                                        |          1 |         23 |          0 |          6 |         29 |
| .venv\Lib\site-packages\colorama                                                                                     |         13 |      1,288 |        106 |        298 |      1,692 |
| .venv\Lib\site-packages\colorama (Files)                                                                             |          6 |        662 |         79 |        147 |        888 |
| .venv\Lib\site-packages\colorama\tests                                                                               |          7 |        626 |         27 |        151 |        804 |
| .venv\Lib\site-packages\crashtest                                                                                    |         12 |        257 |          0 |        116 |        373 |
| .venv\Lib\site-packages\crashtest (Files)                                                                            |          4 |        153 |          0 |         63 |        216 |
| .venv\Lib\site-packages\crashtest\contracts                                                                          |          6 |         59 |          0 |         34 |         93 |
| .venv\Lib\site-packages\crashtest\solution_providers                                                                 |          2 |         45 |          0 |         19 |         64 |
| .venv\Lib\site-packages\cryptography                                                                                 |         95 |     10,839 |        535 |      2,611 |     13,985 |
| .venv\Lib\site-packages\cryptography (Files)                                                                         |          5 |        300 |         24 |        105 |        429 |
| .venv\Lib\site-packages\cryptography\hazmat                                                                          |         81 |      6,325 |        409 |      1,548 |      8,282 |
| .venv\Lib\site-packages\cryptography\hazmat (Files)                                                                  |          2 |        288 |          7 |         33 |        328 |
| .venv\Lib\site-packages\cryptography\hazmat\backends                                                                 |          3 |        234 |         23 |         59 |        316 |
| .venv\Lib\site-packages\cryptography\hazmat\backends (Files)                                                         |          1 |          5 |          3 |          6 |         14 |
| .venv\Lib\site-packages\cryptography\hazmat\backends\openssl                                                         |          2 |        229 |         20 |         53 |        302 |
| .venv\Lib\site-packages\cryptography\hazmat\bindings                                                                 |         30 |        916 |        102 |        197 |      1,215 |
| .venv\Lib\site-packages\cryptography\hazmat\bindings (Files)                                                         |          1 |          0 |          3 |          1 |          4 |
| .venv\Lib\site-packages\cryptography\hazmat\bindings\_rust                                                           |         26 |        692 |         78 |        131 |        901 |
| .venv\Lib\site-packages\cryptography\hazmat\bindings\_rust (Files)                                                   |          9 |        232 |         27 |         42 |        301 |
| .venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl                                                   |         17 |        460 |         51 |         89 |        600 |
| .venv\Lib\site-packages\cryptography\hazmat\bindings\openssl                                                         |          3 |        224 |         21 |         65 |        310 |
| .venv\Lib\site-packages\cryptography\hazmat\decrepit                                                                 |          3 |         74 |         11 |         35 |        120 |
| .venv\Lib\site-packages\cryptography\hazmat\decrepit (Files)                                                         |          1 |          1 |          3 |          2 |          6 |
| .venv\Lib\site-packages\cryptography\hazmat\decrepit\ciphers                                                         |          2 |         73 |          8 |         33 |        114 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives                                                               |         43 |      4,813 |        266 |      1,224 |      6,303 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives (Files)                                                       |         11 |        634 |         59 |        238 |        931 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric                                                    |         12 |      1,248 |         71 |        351 |      1,670 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives\ciphers                                                       |          5 |        481 |         20 |        144 |        645 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives\kdf                                                           |          7 |        573 |         28 |        159 |        760 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives\serialization                                                 |          5 |      1,766 |         79 |        298 |      2,143 |
| .venv\Lib\site-packages\cryptography\hazmat\primitives\twofactor                                                     |          3 |        111 |          9 |         34 |        154 |
| .venv\Lib\site-packages\cryptography\x509                                                                            |          9 |      4,214 |        102 |        958 |      5,274 |
| .venv\Lib\site-packages\distlib                                                                                      |         13 |      8,286 |        780 |      1,465 |     10,531 |
| .venv\Lib\site-packages\dns                                                                                          |        144 |     21,885 |      2,818 |      5,197 |     29,900 |
| .venv\Lib\site-packages\dns (Files)                                                                                  |         55 |     16,820 |      1,627 |      3,905 |     22,352 |
| .venv\Lib\site-packages\dns\dnssecalgs                                                                               |          7 |        539 |          1 |        142 |        682 |
| .venv\Lib\site-packages\dns\quic                                                                                     |          5 |      1,007 |         57 |        168 |      1,232 |
| .venv\Lib\site-packages\dns\rdtypes                                                                                  |         77 |      3,519 |      1,133 |        982 |      5,634 |
| .venv\Lib\site-packages\dns\rdtypes (Files)                                                                          |         10 |      1,026 |        177 |        251 |      1,454 |
| .venv\Lib\site-packages\dns\rdtypes\ANY                                                                              |         50 |      1,908 |        711 |        547 |      3,166 |
| .venv\Lib\site-packages\dns\rdtypes\CH                                                                               |          2 |         34 |         32 |         17 |         83 |
| .venv\Lib\site-packages\dns\rdtypes\IN                                                                               |         15 |        551 |        213 |        167 |        931 |
| .venv\Lib\site-packages\dotenv                                                                                       |          8 |        758 |         10 |        187 |        955 |
| .venv\Lib\site-packages\dulwich                                                                                      |        101 |     40,837 |      3,395 |      7,955 |     52,187 |
| .venv\Lib\site-packages\dulwich (Files)                                                                              |         41 |     20,040 |      1,529 |      4,041 |     25,610 |
| .venv\Lib\site-packages\dulwich\cloud                                                                                |          2 |         45 |         20 |         16 |         81 |
| .venv\Lib\site-packages\dulwich\contrib                                                                              |         10 |      2,263 |        304 |        412 |      2,979 |
| .venv\Lib\site-packages\dulwich\tests                                                                                |         48 |     18,489 |      1,542 |      3,486 |     23,517 |
| .venv\Lib\site-packages\dulwich\tests (Files)                                                                        |         37 |     16,822 |      1,232 |      3,109 |     21,163 |
| .venv\Lib\site-packages\dulwich\tests\compat                                                                         |         11 |      1,667 |        310 |        377 |      2,354 |
| .venv\Lib\site-packages\ecdsa                                                                                        |         30 |     13,285 |        726 |      2,940 |     16,951 |
| .venv\Lib\site-packages\email_validator                                                                              |          8 |        765 |        476 |        221 |      1,462 |
| .venv\Lib\site-packages\fastapi                                                                                      |         44 |     15,623 |        190 |      2,065 |     17,878 |
| .venv\Lib\site-packages\fastapi (Files)                                                                              |         23 |     12,346 |        114 |      1,572 |     14,032 |
| .venv\Lib\site-packages\fastapi\dependencies                                                                         |          3 |        879 |         28 |         97 |      1,004 |
| .venv\Lib\site-packages\fastapi\middleware                                                                           |          6 |         10 |          0 |          6 |         16 |
| .venv\Lib\site-packages\fastapi\openapi                                                                              |          5 |      1,152 |         33 |        160 |      1,345 |
| .venv\Lib\site-packages\fastapi\security                                                                             |          7 |      1,236 |         15 |        230 |      1,481 |
| .venv\Lib\site-packages\fastjsonschema                                                                               |         10 |      1,472 |         49 |        302 |      1,823 |
| .venv\Lib\site-packages\filelock                                                                                     |          9 |        830 |         41 |        231 |      1,102 |
| .venv\Lib\site-packages\greenlet                                                                                     |         81 |      9,106 |      3,476 |      2,116 |     14,698 |
| .venv\Lib\site-packages\greenlet (Files)                                                                             |         30 |      4,970 |      2,003 |      1,119 |      8,092 |
| .venv\Lib\site-packages\greenlet\platform                                                                            |         26 |        929 |        820 |        210 |      1,959 |
| .venv\Lib\site-packages\greenlet\tests                                                                               |         25 |      3,207 |        653 |        787 |      4,647 |
| .venv\Lib\site-packages\h11                                                                                          |         22 |      3,619 |        885 |        822 |      5,326 |
| .venv\Lib\site-packages\h11 (Files)                                                                                  |         11 |      1,470 |        674 |        404 |      2,548 |
| .venv\Lib\site-packages\h11\tests                                                                                    |         11 |      2,149 |        211 |        418 |      2,778 |
| .venv\Lib\site-packages\httpcore                                                                                     |         31 |      5,671 |        395 |      1,085 |      7,151 |
| .venv\Lib\site-packages\httpcore (Files)                                                                             |          8 |      1,026 |         48 |        236 |      1,310 |
| .venv\Lib\site-packages\httpcore-1.0.7.dist-info                                                                     |          1 |         22 |          0 |          6 |         28 |
| .venv\Lib\site-packages\httpcore-1.0.7.dist-info\licenses                                                            |          1 |         22 |          0 |          6 |         28 |
| .venv\Lib\site-packages\httpcore\_async                                                                              |          8 |      1,969 |        168 |        359 |      2,496 |
| .venv\Lib\site-packages\httpcore\_backends                                                                           |          7 |        707 |         11 |        131 |        849 |
| .venv\Lib\site-packages\httpcore\_sync                                                                               |          8 |      1,969 |        168 |        359 |      2,496 |
| .venv\Lib\site-packages\httpx                                                                                        |         24 |      7,381 |        366 |      1,436 |      9,183 |
| .venv\Lib\site-packages\httpx (Files)                                                                                |         18 |      6,692 |        353 |      1,276 |      8,321 |
| .venv\Lib\site-packages\httpx-0.27.2.dist-info                                                                       |          1 |          7 |          0 |          6 |         13 |
| .venv\Lib\site-packages\httpx-0.27.2.dist-info\licenses                                                              |          1 |          7 |          0 |          6 |         13 |
| .venv\Lib\site-packages\httpx\_transports                                                                            |          6 |        689 |         13 |        160 |        862 |
| .venv\Lib\site-packages\idna                                                                                         |          8 |     13,284 |         17 |        308 |     13,609 |
| .venv\Lib\site-packages\idna-3.10.dist-info                                                                          |          1 |         25 |          0 |          7 |         32 |
| .venv\Lib\site-packages\iniconfig                                                                                    |          4 |        259 |         10 |         57 |        326 |
| .venv\Lib\site-packages\installer                                                                                    |         10 |      1,128 |         46 |        318 |      1,492 |
| .venv\Lib\site-packages\installer (Files)                                                                            |          9 |      1,127 |         46 |        317 |      1,490 |
| .venv\Lib\site-packages\installer\_scripts                                                                           |          1 |          1 |          0 |          1 |          2 |
| .venv\Lib\site-packages\jaraco                                                                                       |          4 |        326 |          4 |         76 |        406 |
| .venv\Lib\site-packages\jaraco\classes                                                                               |          4 |        326 |          4 |         76 |        406 |
| .venv\Lib\site-packages\jose                                                                                         |         15 |      2,225 |        164 |        668 |      3,057 |
| .venv\Lib\site-packages\jose (Files)                                                                                 |          8 |      1,218 |        111 |        402 |      1,731 |
| .venv\Lib\site-packages\jose\backends                                                                                |          7 |      1,007 |         53 |        266 |      1,326 |
| .venv\Lib\site-packages\keyring                                                                                      |         30 |      1,922 |         58 |        512 |      2,492 |
| .venv\Lib\site-packages\keyring (Files)                                                                              |         15 |        851 |         28 |        250 |      1,129 |
| .venv\Lib\site-packages\keyring\backends                                                                             |         10 |        805 |         18 |        181 |      1,004 |
| .venv\Lib\site-packages\keyring\backends (Files)                                                                     |          8 |        603 |         18 |        118 |        739 |
| .venv\Lib\site-packages\keyring\backends\macOS                                                                       |          2 |        202 |          0 |         63 |        265 |
| .venv\Lib\site-packages\keyring\testing                                                                              |          3 |        187 |         10 |         55 |        252 |
| .venv\Lib\site-packages\keyring\util                                                                                 |          2 |         79 |          2 |         26 |        107 |
| .venv\Lib\site-packages\mako                                                                                         |         33 |      6,545 |        404 |      1,632 |      8,581 |
| .venv\Lib\site-packages\mako (Files)                                                                                 |         17 |      5,660 |        330 |      1,368 |      7,358 |
| .venv\Lib\site-packages\mako\ext                                                                                     |          9 |        466 |         55 |        114 |        635 |
| .venv\Lib\site-packages\mako\testing                                                                                 |          7 |        419 |         19 |        150 |        588 |
| .venv\Lib\site-packages\markupsafe                                                                                   |          4 |        465 |         16 |        131 |        612 |
| .venv\Lib\site-packages\more_itertools                                                                               |          6 |      5,449 |        176 |      1,395 |      7,020 |
| .venv\Lib\site-packages\msgpack                                                                                      |          4 |        994 |         26 |        186 |      1,206 |
| .venv\Lib\site-packages\multipart                                                                                    |          4 |      1,406 |        313 |        382 |      2,101 |
| .venv\Lib\site-packages\packaging                                                                                    |         14 |      3,257 |        533 |        839 |      4,629 |
| .venv\Lib\site-packages\passlib                                                                                      |         97 |     29,408 |     10,963 |      8,008 |     48,379 |
| .venv\Lib\site-packages\passlib (Files)                                                                              |         12 |      5,426 |      1,538 |      1,444 |      8,408 |
| .venv\Lib\site-packages\passlib\crypto                                                                               |         12 |      2,950 |        945 |        701 |      4,596 |
| .venv\Lib\site-packages\passlib\crypto (Files)                                                                       |          4 |      1,469 |        370 |        315 |      2,154 |
| .venv\Lib\site-packages\passlib\crypto\_blowfish                                                                     |          4 |        994 |        366 |        229 |      1,589 |
| .venv\Lib\site-packages\passlib\crypto\scrypt                                                                        |          4 |        487 |        209 |        157 |        853 |
| .venv\Lib\site-packages\passlib\ext                                                                                  |          4 |        746 |        388 |        189 |      1,323 |
| .venv\Lib\site-packages\passlib\ext (Files)                                                                          |          1 |          0 |          0 |          2 |          2 |
| .venv\Lib\site-packages\passlib\ext\django                                                                           |          3 |        746 |        388 |        187 |      1,321 |
| .venv\Lib\site-packages\passlib\handlers                                                                             |         24 |      4,969 |      2,465 |      1,350 |      8,784 |
| .venv\Lib\site-packages\passlib\tests                                                                                |         36 |     11,400 |      4,475 |      3,352 |     19,227 |
| .venv\Lib\site-packages\passlib\utils                                                                                |          9 |      3,917 |      1,152 |        972 |      6,041 |
| .venv\Lib\site-packages\passlib\utils (Files)                                                                        |          7 |      3,444 |      1,041 |        838 |      5,323 |
| .venv\Lib\site-packages\passlib\utils\compat                                                                         |          2 |        473 |        111 |        134 |        718 |
| .venv\Lib\site-packages\pathspec                                                                                     |          8 |      1,574 |        150 |        406 |      2,130 |
| .venv\Lib\site-packages\pathspec (Files)                                                                             |          6 |      1,329 |         44 |        323 |      1,696 |
| .venv\Lib\site-packages\pathspec\patterns                                                                            |          2 |        245 |        106 |         83 |        434 |
| .venv\Lib\site-packages\pexpect                                                                                      |         19 |      3,599 |        334 |        875 |      4,808 |
| .venv\Lib\site-packages\pip                                                                                          |        411 |    106,003 |      6,570 |     18,839 |    131,412 |
| .venv\Lib\site-packages\pip (Files)                                                                                  |          3 |         47 |         14 |         29 |         90 |
| .venv\Lib\site-packages\pip\_internal                                                                                |        148 |     23,722 |      2,190 |      5,124 |     31,036 |
| .venv\Lib\site-packages\pip\_internal (Files)                                                                        |          9 |      1,941 |        172 |        474 |      2,587 |
| .venv\Lib\site-packages\pip\_internal\cli                                                                            |         13 |      2,158 |        194 |        440 |      2,792 |
| .venv\Lib\site-packages\pip\_internal\commands                                                                       |         18 |      2,821 |        129 |        532 |      3,482 |
| .venv\Lib\site-packages\pip\_internal\distributions                                                                  |          5 |        230 |         22 |         56 |        308 |
| .venv\Lib\site-packages\pip\_internal\index                                                                          |          4 |      1,446 |         70 |        289 |      1,805 |
| .venv\Lib\site-packages\pip\_internal\locations                                                                      |          4 |        678 |         81 |        168 |        927 |
| .venv\Lib\site-packages\pip\_internal\metadata                                                                       |          8 |      1,344 |         58 |        308 |      1,710 |
| .venv\Lib\site-packages\pip\_internal\metadata (Files)                                                               |          4 |        950 |         38 |        217 |      1,205 |
| .venv\Lib\site-packages\pip\_internal\metadata\importlib                                                             |          4 |        394 |         20 |         91 |        505 |
| .venv\Lib\site-packages\pip\_internal\models                                                                         |         12 |      1,058 |        113 |        263 |      1,434 |
| .venv\Lib\site-packages\pip\_internal\network                                                                        |          8 |      1,240 |        217 |        304 |      1,761 |
| .venv\Lib\site-packages\pip\_internal\operations                                                                     |         15 |      1,818 |        246 |        389 |      2,453 |
| .venv\Lib\site-packages\pip\_internal\operations (Files)                                                             |          4 |        879 |        136 |        160 |      1,175 |
| .venv\Lib\site-packages\pip\_internal\operations\build                                                               |          8 |        366 |         16 |        103 |        485 |
| .venv\Lib\site-packages\pip\_internal\operations\install                                                             |          3 |        573 |         94 |        126 |        793 |
| .venv\Lib\site-packages\pip\_internal\req                                                                            |          6 |      2,244 |        186 |        426 |      2,856 |
| .venv\Lib\site-packages\pip\_internal\resolution                                                                     |         13 |      2,465 |        270 |        495 |      3,230 |
| .venv\Lib\site-packages\pip\_internal\resolution (Files)                                                             |          2 |         15 |          0 |          7 |         22 |
| .venv\Lib\site-packages\pip\_internal\resolution\legacy                                                              |          2 |        449 |         68 |         82 |        599 |
| .venv\Lib\site-packages\pip\_internal\resolution\resolvelib                                                          |          9 |      2,001 |        202 |        406 |      2,609 |
| .venv\Lib\site-packages\pip\_internal\utils                                                                          |         27 |      2,828 |        308 |        720 |      3,856 |
