Date : 2024-12-22 08:12:24
Directory : d:\final_project
Total : 2984 files,  759495 codes, 61800 comments, 171248 blanks, all 992543 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py                                 | Python           |         62 |          0 |         24 |         86 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py                                  | Python           |        178 |         14 |         30 |        222 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py                                   | Python           |        150 |          6 |         34 |        190 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py                                     | Python           |        231 |         19 |         52 |        302 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\__init__.py                                            | Python           |          2 |          0 |          1 |          3 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\candidate.py                                           | Python           |         17 |          0 |          9 |         26 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\direct_url.py                                          | Python           |        178 |          3 |         44 |        225 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\format_control.py                                      | Python           |         63 |          1 |         15 |         79 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\index.py                                               | Python           |         17 |          3 |          9 |         29 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\installation_report.py                                 | Python           |         29 |         21 |          7 |         57 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\link.py                                                | Python           |        436 |         54 |        101 |        591 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\scheme.py                                              | Python           |         18 |          0 |          8 |         26 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\search_scope.py                                        | Python           |         89 |         18 |         21 |        128 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py                                     | Python           |         40 |          6 |          8 |         54 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\target_python.py                                       | Python           |         98 |          4 |         20 |        122 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\models\wheel.py                                               | Python           |         71 |          3 |         20 |         94 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\__init__.py                                           | Python           |          2 |          0 |          1 |          3 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\auth.py                                               | Python           |        388 |         74 |        105 |        567 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\cache.py                                              | Python           |         80 |          5 |         22 |        107 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\download.py                                           | Python           |        150 |          3 |         35 |        188 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py                                         | Python           |        166 |          7 |         38 |        211 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\session.py                                            | Python           |        361 |         81 |         81 |        523 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\utils.py                                              | Python           |         40 |         47 |         12 |         99 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py                                             | Python           |         53 |          0 |         10 |         63 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py                             | Python           |         98 |          8 |         33 |        139 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py                                  | Python           |         27 |          3 |         10 |         40 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py                         | Python           |         29 |          3 |         10 |         42 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py                           | Python           |         58 |          1 |         16 |         75 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py                                     | Python           |         30 |          0 |          8 |         38 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py                            | Python           |         39 |          0 |          8 |         47 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py                              | Python           |         85 |          1 |         17 |        103 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\check.py                                           | Python           |        133 |         10 |         39 |        182 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\freeze.py                                          | Python           |        216 |         13 |         30 |        259 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py                                | Python           |          2 |          0 |          1 |          3 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py                         | Python           |         40 |          0 |          8 |         48 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py                                   | Python           |        531 |         94 |        117 |        742 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\operations\prepare.py                                         | Python           |        530 |        113 |         90 |        733 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\pyproject.py                                                  | Python           |        111 |         45 |         30 |        186 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\req\__init__.py                                               | Python           |         72 |          1 |         18 |         91 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\req\constructors.py                                           | Python           |        462 |         20 |         79 |        561 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\req\req_file.py                                               | Python           |        425 |         33 |         94 |        552 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\req\req_install.py                                            | Python           |        751 |         75 |        109 |        935 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\req\req_set.py                                                | Python           |         61 |          0 |         22 |         83 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py                                          | Python           |        473 |         57 |        104 |        634 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\base.py                                            | Python           |         15 |          0 |          6 |         21 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py                                 | Python           |        449 |         68 |         81 |        598 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py                             | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py                                 | Python           |        101 |          4 |         35 |        140 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py                           | Python           |        448 |         25 |         97 |        570 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py                              | Python           |        661 |         77 |         80 |        818 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py                     | Python           |        127 |         20 |         28 |        175 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py                             | Python           |        194 |         29 |         36 |        259 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py                             | Python           |         61 |          1 |         20 |         82 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py                         | Python           |        171 |         12 |         63 |        246 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py                             | Python           |        238 |         34 |         46 |        318 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py                                        | Python           |        181 |         16 |         48 |        245 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py                                         | Python           |         83 |          0 |         27 |        110 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\_log.py                                                 | Python           |         23 |          2 |         14 |         39 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\appdirs.py                                              | Python           |         31 |          5 |         17 |         53 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\compat.py                                               | Python           |         47 |         11 |         22 |         80 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py                                   | Python           |        121 |         16 |         29 |        166 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\datetime.py                                             | Python           |          7 |          0 |          5 |         12 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py                                          | Python           |         96 |          6 |         23 |        125 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py                                   | Python           |         71 |          9 |          8 |         88 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\egg_link.py                                             | Python           |         67 |          0 |         14 |         81 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\encoding.py                                             | Python           |         30 |          1 |          6 |         37 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py                                          | Python           |         65 |          5 |         15 |         85 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py                                           | Python           |        103 |         17 |         30 |        150 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\filetypes.py                                            | Python           |         22 |          0 |          6 |         28 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\glibc.py                                                | Python           |         47 |         40 |         15 |        102 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\hashes.py                                               | Python           |        102 |         10 |         36 |        148 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\logging.py                                              | Python           |        273 |         22 |         53 |        348 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\misc.py                                                 | Python           |        590 |         32 |        156 |        778 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\packaging.py                                            | Python           |         36 |          6 |         16 |         58 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\retry.py                                                | Python           |         30 |          2 |         11 |         43 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py                                     | Python           |        106 |         16 |         25 |        147 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py                                           | Python           |        186 |         36 |         24 |        246 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py                                             | Python           |        220 |         22 |         55 |        297 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py                                            | Python           |        268 |         31 |         39 |        338 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\urls.py                                                 | Python           |         40 |          5 |         11 |         56 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py                                           | Python           |         72 |          7 |         26 |        105 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\utils\wheel.py                                                | Python           |         92 |          7 |         36 |        135 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\vcs\__init__.py                                               | Python           |         11 |          4 |          1 |         16 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py                                                 | Python           |         94 |          3 |         16 |        113 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\vcs\git.py                                                    | Python           |        403 |         56 |         69 |        528 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py                                              | Python           |        146 |          1 |         17 |        164 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py                                             | Python           |        237 |         40 |         48 |        325 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py                                         | Python           |        560 |         20 |        109 |        689 |
| d:\final_project\.venv\Lib\site-packages\pip\_internal\wheel_builder.py                                              | Python           |        290 |         19 |         46 |        355 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\__init__.py                                                     | Python           |         80 |         26 |         11 |        117 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py                                        | Python           |         19 |          3 |          7 |         29 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py                                            | Python           |         43 |          7 |         21 |         71 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py                                         | Python           |        114 |         20 |         28 |        162 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py                                           | Python           |         51 |          3 |         21 |         75 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py                                 | Python           |          3 |          3 |          3 |          9 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py                               | Python           |        123 |         23 |         37 |        183 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py                              | Python           |         34 |          3 |         12 |         49 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py                                      | Python           |        350 |         69 |         81 |        500 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py                                     | Python           |         68 |         29 |         23 |        120 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py                                      | Python           |        114 |          3 |         38 |        155 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py                                       | Python           |         99 |         23 |         25 |        147 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py                                         | Python           |         33 |          3 |          8 |         44 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\certifi\__init__.py                                             | Python           |          3 |          0 |          2 |          5 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\certifi\__main__.py                                             | Python           |          9 |          0 |          4 |         13 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\certifi\core.py                                                 | Python           |         56 |         37 |         22 |        115 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\__init__.py                                             | Python           |         16 |          6 |         12 |         34 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py                                               | Python           |        861 |        101 |        177 |      1,139 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\database.py                                             | Python           |      1,135 |         45 |        180 |      1,360 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\index.py                                                | Python           |        445 |         19 |         45 |        509 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py                                             | Python           |      1,107 |         77 |        120 |      1,304 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py                                             | Python           |        276 |         40 |         69 |        385 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py                                              | Python           |        129 |          9 |         30 |        168 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py                                             | Python           |        840 |         74 |        155 |      1,069 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py                                            | Python           |        280 |         15 |         64 |        359 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py                                              | Python           |        363 |         55 |         49 |        467 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\util.py                                                 | Python           |      1,564 |        167 |        295 |      2,026 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\version.py                                              | Python           |        533 |         86 |        133 |        752 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py                                                | Python           |        902 |         81 |        117 |      1,100 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distro\__init__.py                                              | Python           |         52 |          0 |          3 |         55 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distro\__main__.py                                              | Python           |          3 |          0 |          2 |          5 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\distro\distro.py                                                | Python           |      1,039 |         90 |        275 |      1,404 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\__init__.py                                                | Python           |         43 |          0 |          2 |         45 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\codec.py                                                   | Python           |         89 |          3 |         27 |        119 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\compat.py                                                  | Python           |          9 |          0 |          5 |         14 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\core.py                                                    | Python           |        315 |          8 |         73 |        396 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\idnadata.py                                                | Python           |      4,243 |          1 |          2 |      4,246 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\intranges.py                                               | Python           |         42 |          3 |         10 |         55 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\package_data.py                                            | Python           |          1 |          0 |          2 |          3 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\idna\uts46data.py                                               | Python           |      8,509 |          2 |         88 |      8,599 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py                                             | Python           |         37 |          1 |         18 |         56 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py                                           | Python           |         28 |          2 |         19 |         49 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\msgpack\ext.py                                                  | Python           |        130 |          3 |         36 |        169 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py                                             | Python           |        812 |         21 |        119 |        952 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\__init__.py                                           | Python           |          8 |          3 |          5 |         16 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\_elffile.py                                           | Python           |         86 |          3 |         22 |        111 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py                                         | Python           |        176 |         48 |         39 |        263 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py                                         | Python           |         65 |          0 |         21 |         86 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\_parser.py                                            | Python           |        267 |          7 |         81 |        355 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\_structures.py                                        | Python           |         36 |          3 |         23 |         62 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py                                         | Python           |        163 |          0 |         32 |        195 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py                                            | Python           |        222 |         37 |         67 |        326 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py                                           | Python           |        537 |        164 |        104 |        805 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\requirements.py                                       | Python           |         64 |          7 |         21 |         92 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py                                         | Python           |        680 |        152 |        178 |      1,010 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py                                               | Python           |        429 |         44 |         96 |        569 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\utils.py                                              | Python           |        119 |         17 |         39 |        175 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\packaging\version.py                                            | Python           |        405 |         48 |        111 |        564 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py                                       | Python           |      2,831 |        177 |        669 |      3,677 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py                                        | Python           |        546 |          0 |         82 |        628 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py                                        | Python           |         43 |          0 |         13 |         56 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py                                         | Python           |        186 |         14 |         50 |        250 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py                                             | Python           |        232 |          0 |         61 |        293 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py                                           | Python           |        105 |          0 |         26 |        131 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py                                            | Python           |        219 |          5 |         52 |        276 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\version.py                                         | Python           |         12 |          2 |          3 |         17 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py                                         | Python           |        216 |          4 |         53 |        273 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py                                            | Python           |         65 |          2 |         16 |         83 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\__main__.py                                            | Python           |         13 |          0 |          5 |         18 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py                                             | Python           |        554 |         39 |         76 |        669 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\console.py                                             | Python           |         54 |          0 |         17 |         71 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\filter.py                                              | Python           |         54 |          1 |         16 |         71 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py                                    | Python           |        858 |          3 |         80 |        941 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py                                           | Python           |         90 |         12 |         28 |        130 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py                                 | Python           |        122 |          4 |         32 |        158 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py                                 | Python           |         20 |          2 |          2 |         24 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py                                   | Python           |         85 |          1 |         23 |        109 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py                                    | Python           |        128 |          0 |         43 |        171 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py                                     | Python           |        787 |         23 |        178 |        988 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py                                      | Python           |        552 |         23 |        111 |        686 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py                                      | Python           |        126 |          4 |         25 |        155 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py                                    | Python           |        402 |         45 |         72 |        519 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py                                    | Python           |        128 |          3 |         30 |        161 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py                              | Python           |         62 |          0 |         22 |         84 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py                                      | Python           |        256 |         22 |         72 |        350 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py                                      | Python           |        153 |          0 |         33 |        186 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py                                 | Python           |         97 |          5 |         26 |        128 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py                              | Python           |        255 |         21 |         63 |        339 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py                                               | Python           |        727 |         90 |        147 |        964 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py                                     | Python           |        275 |         22 |         66 |        363 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py                                     | Python           |        586 |          2 |          2 |        590 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py                                       | Python           |      1,061 |         68 |         70 |      1,199 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py                                            | Python           |         32 |          0 |         12 |         44 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py                                              | Python           |         45 |          4 |         24 |         73 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py                                            | Python           |         66 |         13 |         13 |         92 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py                                             | Python           |         89 |          0 |         16 |        105 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py                                           | Python           |        198 |          0 |         50 |        248 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\style.py                                               | Python           |        155 |         19 |         30 |        204 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py                                     | Python           |         45 |          5 |         12 |         62 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\styles\_mapping.py                                     | Python           |         51 |          2 |          2 |         55 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\token.py                                               | Python           |        165 |         12 |         38 |        215 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py                                           | Python           |         94 |          6 |         54 |        154 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pygments\util.py                                                | Python           |        263 |          5 |         57 |        325 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__init__.py                                     | Python           |         21 |          0 |          3 |         24 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_compat.py                                      | Python           |          6 |          0 |          3 |          9 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py                                        | Python           |        258 |          4 |         69 |        331 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__init__.py                         | Python           |         14 |          1 |          4 |         19 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\_in_process.py                      | Python           |        274 |          6 |         74 |        354 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\__init__.py                                            | Python           |        125 |         22 |         33 |        180 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\__version__.py                                         | Python           |         10 |          3 |          2 |         15 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\_internal_utils.py                                     | Python           |         40 |          0 |         11 |         51 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py                                            | Python           |        585 |         24 |        111 |        720 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\api.py                                                 | Python           |        117 |          3 |         38 |        158 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\auth.py                                                | Python           |        223 |         27 |         65 |        315 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\certs.py                                               | Python           |         17 |          1 |          7 |         25 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\compat.py                                              | Python           |         48 |         15 |         16 |         79 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py                                             | Python           |        439 |         12 |        111 |        562 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\exceptions.py                                          | Python           |         91 |          1 |         60 |        152 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\help.py                                                | Python           |        106 |          0 |         22 |        128 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\hooks.py                                               | Python           |         23 |          1 |         10 |         34 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\models.py                                              | Python           |        740 |        116 |        182 |      1,038 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\packages.py                                            | Python           |         17 |          4 |          5 |         26 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\sessions.py                                            | Python           |        566 |        116 |        150 |        832 |
| d:\final_project\.venv\Lib\site-packages\pip\_vendor\requests\status_codes.py                                        | Python           |        112 |          4 |         13 |        129 |
